Brand and Variety,Phos,Protein,Sodium,Fat,Carbs,Cals,Obtained,meal,label
Halo Holistic Grain Free Chicken & Chicken Liver Senior,0.9,33.5,0.6,14.2,40.4,3520,30-Jan-20,76.0458272,ADULT
"NutriSource Cat & Kitten Chicken Meal, Salmon & Liver",0.9,33.7,0.6,19.7,na,4170,28-Jan-20,65.01076986,ADULT
Halo Holistic Grain Free Wild Salmon & Whitefish Senior,0.9,34,0.7,13.7,39.4,3470,30-Jan-20,76.91069128,ADULT
Halo Holistic Sensitive Stomach Seafood Medley,0.9,34.8,0.5,18.6,36.7,3760,30-Jan-20,65.4894327,ADULT
Halo Holistic Chicken & Chicken Liver Adult,0.9,34.8,0.51,21.6,30.5,3780,30-Jan-20,61.38250319,ADULT
Halo Holistic Wild Salmon & Whitefish Adult,0.9,35,0.6,16.8,36.3,3730,30-Jan-20,68.45238095,ADULT
Fromm Chicken À La Veg,0.9,35.04,0.41,20.9,34.99,3871,31-Jan-20,61.98930546,ADULT
Halo Holistic Sensitive Stomach Turkey & Turkey Liver,0.9,35.2,0.5,21.3,32.3,3770,30-Jan-20,61.33295988,ADULT
Halo Holistic Healthy Weight Grain Free Wild Salmon & Whitefish Indoor,0.9,36.8,0.6,17.2,33.6,3550,30-Jan-20,65.94413549,ADULT
Now FRESH Grain Free Kitten,0.9,38,0.31,24,30,3947,31-Oct-19,55.81140351,ADULT
Halo Holistic Grain Free Wild Salmon & Whitefish Kitten,0.9,38.5,0.4,20.9,29.7,3870,30-Jan-20,58.78332194,ADULT
Wysong Uretic,0.9,46.2,0.8,18,20.5,3528,16-Oct-19,57.61183261,ADULT
"Feline Medley Chicken, Turkey & Fish",0.91,31.6,0.26,16.3,40.77,na,19-Nov-19,73.29929331,ADULT
Star Pro Premium Feline Formula,0.91,33.41,0.33,17.03,33.33,3705,01-Feb-20,69.70989625,ADULT
Performatrin Adult Grain-Free Chicken & Potato Formula,0.91,35.7,0.37,20.1,28.8,4095,16-Jan-20,62.37718968,ADULT
Young Again Original Cat& Kitten 50/22,0.91,56.5,0.21,26.8,6,4465,01-Feb-20,42.64628187,ADULT
Young Again Li'l Bites Kitten 50/22,0.91,56.5,0.21,26.8,6,4465,01-Feb-20,42.64628187,ADULT
Infinia Holistic Chicken & Pea,0.93,36.7,0.45,18.9,23.87,3765,14-Nov-19,63.1604746,ADULT
Fromm Beef Liváttini Veg,0.93,38.8,0.39,21.22,29.24,3802,31-Jan-20,58.13543924,ADULT
Performatrin Ultra Limited Potato & Salmon Formula,0.95,36.3,0.27,19,30.5,3835,28-Nov-19,63.38263013,ADULT
Performatrin Ultra Grain-Free Ocean Recipe,0.95,42,0.53,20,20.6,4186,21-Jan-20,57.26190476,ADULT
Regal Lean Cat Bites,0.96,31.49,0.3,9.1,na,3276,05-Jan-17,100.1347018,ADULT
Wellness Complete Health Indoor Chicken & Chicken Meal,0.96,35.11,0.33,13.7,41.08,3532,01-Feb-20,75.74837788,ADULT
Performatrin Senior Formula,0.96,35.2,0.35,18.4,35.2,3920,28-Nov-19,65.40266798,ADULT
Nulo Freestyle Freeze-Dried Raw Cat & Kitten Turkey & Duck,0.96,46.9,0.36,43.62,1.02,5214,26-Nov-19,39.26134703,ADULT
Adirondack Lean /Senior*,0.97,31.11,0.27,11.11,na,3269,09-Jan-17,89.68495692,ADULT
AvoDerm Grain Free Tuna With Lobster & Crab Meal,0.97,34.7,0.51,18.3,39,3595,24-Jul-19,66.07769956,ADULT
Whole Earth Farms Grain Free Real Salmon,0.97,40.5,1.06,30.84,15.6,3458,25-Oct-19,48.69817937,ADULT
Adirondack Adult*,0.98,33.33,0.26,15.56,na,3858,09-Jan-17,72.85079408,ADULT
Artemis Fresh Mix Feline Formula,0.98,35.8,0.4,23,31.3,3922,23-Nov-16,58.8292446,ADULT
AvoDerm Kitten Chicken & Herring Meal,0.98,39.13,0.35,23.91,23,4027,24-Jul-19,54.94772703,ADULT
Blackwood Special Diet Grain Free Chicken Meal & Field Pea*,0.98,44.44,0.31,20,27.3,3823,27-Nov-19,55.62781278,ADULT
Regal Cat Bites,0.99,33.86,0.34,19.96,na,3813,05-Jan-17,64.47182611,ADULT
Chicken Soup for the Soul Grain Free Chicken & Legumes,0.99,35.7,0.35,17.19,35.11,3585,28-Oct-19,67.00935173,ADULT
Authority Adult Chicken & Rice,0.99,36.1,0.2,18.6,37.7,4163,13-Dec-16,64.19593125,ADULT
Grandma Mae's Country Naturals Grain Free Indoor & Weight Control*,1,33.33,0.21,8.89,na,2950,23-Nov-19,99.37101697,ADULT
GO! Solutions Skin + Coat Care Grain Free Salmon,1,34,0.32,16,39,4122,31-Oct-19,71.13970588,ADULT
Go! Solutions Sensitivities Limited Ingredient Grain Free Pollock,1,34,0.38,17,41,4232,31-Oct-19,69.11764706,ADULT
Halo Holistic Healthy Weight Grain Free Game Bird Medley Indoor,1,34,0.7,18.2,35.7,3630,30-Jan-20,66.9844861,ADULT
Lotus Grain Free Oven-Baked Low Fat Chicken Recipe,1,34.61,0.37,11.06,40.33,3206,28-Jan-20,85.84548153,ADULT
Newman's Own Adult Cat Formula,1,35,0.3,18,32,na,14-Nov-19,66.26984127,ADULT
Go! Solutions Sensitivities Limited Ingredient Duck,1,35,0.45,18,36,4222,31-Oct-19,66.26984127,ADULT
Halo Holistic Healthy Weight Grain Free Chicken & Chicken Liver Indoor,1,35.2,0.7,17.1,36.3,3610,30-Jan-20,67.67510633,ADULT
Go! Solutions Skin + Coat Care Chicken,1,36,0.28,22,33,4604,31-Oct-19,59.72222222,ADULT
"Solid Gold Let’s Stay In With Salmon, Lentil & Apple*",1,36,0.38,16,25,na,23-Jan-20,69.09722222,ADULT
Halo Holistic Grain Free Chicken & Chicken Liver Kitten,1,36,0.4,22.9,29.4,3870,30-Jan-20,58.73968947,ADULT
Rachael Ray Nutrish Real Chicken & Brown Rice*,1,37.36,0.5,15.38,na,3635,06-Jan-20,69.21897233,ADULT
Solid Gold Katz-N-Flocken With Lamb & Brown Rice & P*earled Barley,1,37.78,0.32,13.33,37.78,3525,08-Nov-19,74.34660412,ADULT
Supreme Source Chicken Meal & Turkey Meal*,1,38.89,0.33,16.67,33.33,3650,03-Dec-19,65.13534012,ADULT
Supreme Source Grain Free Whitefish Meal & Salmon Meal*,1,38.89,0.33,16.67,33.33,3660,03-Dec-19,65.13534012,ADULT
Solid Gold Touch of Heaven With Chicken & Sweet Potato*,1,40,0.3,20,27.78,3810,08-Nov-19,58.75,ADULT
FirstMate Grain Free Chicken Meal With Blueberries,1,40,0.4,18,29,3530,25-Nov-19,61.80555556,ADULT
"Solid Gold Indigo Moon With Peas, Chicken & Egg*",1,42,0.3,20,17,3860,22-Jan-20,57.26190476,ADULT
Solid Gold Indigo Moon With Alaskan Pollock & Egg*,1,42,0.3,20,17,na,23-Jan-20,57.26190476,ADULT
Instinct Ultimate Protein Duck,1,52,0.56,18.89,18.89,4510,08-Nov-19,53.1543959,ADULT
Rayne Clinical Nutrition Growth/Sensitive-GI,1.01,36.93,0.54,14.6,36.3,3500,27-Nov-19,71.51905308,ADULT
Annamet No 29 Sustain Grain Free,1.01,37,0.43,16,26.5,3618,26-Nov-19,68.15878378,ADULT
Rachael Ray Nutrish Indoor Chicken With Lentils & Salmon*,1.01,37.36,0.48,13.19,na,3499,06-Jan-20,75.15650037,ADULT
Catered Bowl Antibiotic-free Chicken & Brown Rice*,1.02,33.33,0.27,17.06,37,3500,11-Nov-19,69.7429063,ADULT
Tender & True Antibiotic-free Chicken & Brown Rice*,1.02,33.33,0.27,17.06,37,3500,11-Nov-19,69.7429063,ADULT
AvoDerm Adult Chicken & Herring Indoor Hairball Care,1.02,34.78,0.33,17.39,29,3564,24-Jul-19,67.56756757,ADULT
AvoDerm Adult Chicken & Herring Meal,1.02,34.78,0.33,21.74,28.5,3753,24-Jul-19,61.23918356,ADULT
"Solid Gold Let’s Stay In With Chicken, Lentil & Apple*",1.02,36,0.38,16,25,na,22-Jan-20,69.09722222,ADULT
Nulo MedalSeries Grain Free Limited Ingredient Diet Cat & Kitten Chicken,1.02,41.57,0.65,19.73,27.85,3799,26-Nov-19,57.94609231,ADULT
Nutrisca Grain Free Chicken Recipe*,1.02,42.8,0.46,16.6,24.6,3645,21-Jan-20,62.3381376,ADULT
VeRUS Feline Life Advantage,1.03,34.1,0.26,20.66,29.21,4785,27-Jan-20,63.2783823,ADULT
Performatrin Hairball Formula,1.03,36.3,0.52,21,21.1,3830,28-Nov-19,60.6257379,ADULT
Catered Bowl Antibiotic-free Turkey & Brown Rice*,1.04,33.33,0.34,17.06,37,3750,11-Nov-19,69.7429063,ADULT
Tender & True Antibiotic-free Turkey & Brown Rice*,1.04,33.33,0.34,17.06,37,3750,11-Nov-19,69.7429063,ADULT
Chicken Soup for the Soul Grain Free Salmon & Legumes,1.04,35.75,0.3,17.19,35.42,3596,28-Oct-19,66.9603811,ADULT
Dr Pol's Grain Free 34/15 Cat & Kitten,1.04,37.78,0.29,16.67,34.59,3715,17-Jan-20,66.07969036,ADULT
Rayne Clinical Nutrition Rabbit Maintenance,1.04,38.72,0.64,14.62,35.41,3530,27-Nov-19,69.90275689,ADULT
Stella and Chewy's Raw Blend Cage-Free Recipe*,1.04,44.3,0.25,17.6,35.1,3818,21-Jan-20,59.46670429,ADULT
Fromm Duck À La Veg,1.05,37.16,0.43,21.66,32.95,3757,31-Jan-20,59.03074921,ADULT
Performatrin Ultra Healthy Weight with Salmon Recipe,1.05,37.2,0.49,13.2,30.7,3380,28-Nov-19,75.2688172,ADULT
Hill's Healthy Advantage Kitten,1.05,37.3,0.43,24.8,28.3,4139,01-Feb-20,55.6894837,ADULT
Annamaet Grain Free Chicken Meal & Whitefish Meal,1.05,44,0.41,20,15.5,4149,26-Nov-19,55.90909091,ADULT
NutriSource Cat & Kitten Chicken & Rice,1.06,32.4,0.59,19.25,na,4098,28-Jan-20,67.15167549,ADULT
Hill's Science Diet Kitten Chicken,1.06,37.8,0.56,23.5,30,4152,01-Feb-20,56.47303839,ADULT
Nature's Harvest Adult Grain Free Chicken*,1.06,38.89,na,22.22,23.33,4260,02-Dec-19,56.89441405,ADULT
Farmina Natural and Delicious Low Ancestral Grain Chicken & Pomegranate Neutered,1.06,40.43,0.74,10.64,34.26,3877,11-Dec-16,82.60936474,ADULT
Nulo MedalSeries Grain Free Limited Ingredient Diet Cat & Kitten Turkey,1.06,41.57,0.28,19.73,25.6,3726,26-Nov-19,57.94609231,ADULT
Stella and Chewy's Raw-Coated Cage-Free Chicken*,1.06,43.2,0.25,18.2,31,3837,21-Jan-20,59.1549654,ADULT
Performatrin Ultra Chicken & Brown Rice Recipe,1.07,36.1,0.45,22,29.3,3865,28-Nov-19,59.62603878,ADULT
"Wellness Complete Health Chicken, Chicken Meal & Rice",1.07,42.07,0.3,21.14,26.96,3952,01-Feb-20,55.72941345,ADULT
Life's Abundance All Life Stages Grain Free,1.08,40.86,0.63,20.43,30.1,3961,27-Nov-19,57.5134606,ADULT
Nature's Logic Chicken,1.08,40.9,0.36,22.4,28.62,3964,15-Nov-20,55.11591862,ADULT
"RAWZ Meal Free Salmon, Dehydrated Chicken & Whitefish",1.08,45.3,0.41,16.46,28.56,3710,03-Dec-19,61.00815677,ADULT
Dr Elsey's Clean Protein Chicken Recipe,1.08,62.6,0.58,19.46,4.69,4008,22-Sep-19,48.23115492,ADULT
Performatrin Adult Formula,1.09,35.9,0.53,20.1,30.2,4110,28-Nov-19,62.18212558,ADULT
Lovibles Kitten,1.09,36.1,0.48,16.6,33,4185,22-Jan-20,67.7585689,ADULT
Performatrin Healthy Weight Formula,1.09,36.2,0.46,14.3,24.4,3360,28-Nov-19,72.9919252,ADULT
Taste of the Wild Prey Limited Ingredient Turkey,1.09,36.8,0.44,14.2,37.5,3689,18-Oct-19,72.69978567,ADULT
Performatrin Indoor Formula,1.09,36.8,0.51,16.7,29.7,3740,28-Nov-19,66.90152304,ADULT
AvoDerm Salmon & Brown Rice,1.09,36.96,0.33,19.57,27,3793,24-Jul-19,61.92458751,ADULT
Fromm Gold Kitten,1.09,37.16,0.43,21.66,32.76,4410,31-Jan-20,59.03074921,ADULT
PureVita Grain Free Salmon & Green Pea Entrée,1.1,31.4,0.9,18.3,na,4068,28-Jan-20,69.86356201,ADULT
Exclusive Chicken & Brown Rice Weight Management/Hairball Care,1.1,32.5,0.66,10.08,31.94,3320,12-Nov-19,93.02503053,ADULT
Exclusive Chicken & Brown Rice,1.1,32.5,0.67,21.3,25.56,3860,12-Nov-19,64.28313471,ADULT
PureVita Grain Free Chicken & Peas Entrée,1.1,32.7,0.7,18.8,na,3992,28-Jan-20,67.48161884,ADULT
Lone Star Meow for More,1.1,34.16,0.49,11.44,na,3370,01-Feb-20,84.66942893,ADULT
Pro Pac Ultimates Deep Sea Select,1.1,34.8,0.4,16.3,39.1,3705,11-Nov-19,69.66187152,ADULT
Lovibles Seafood,1.1,34.8,0.48,14.5,35.8,4060,22-Jan-20,73.85057471,ADULT
NutriSource Grain Free Country Select Entrée,1.1,36,0.3,16,na,4036,28-Jan-20,69.09722222,ADULT
Pro Pac Ultimates Savanna Pride,1.1,37,0.3,16.3,39.1,3730,11-Nov-19,67.52611507,ADULT
Fromm Hasen Duckenpfeffer,1.1,37.32,0.41,19.37,21.16,3708,31-Jan-20,61.88852941,ADULT
Instinct Limited Ingredient Diet Rabbit,1.1,38,0.55,20.88,24.18,3890,08-Nov-19,59.23573301,ADULT
Orijen Cat & Kitten,1.1,44,0.44,22,21,4060,23-Sep-19,53.40909091,ADULT
GO! Solutions Carnivore 74% Grain Free Salmon & Cod,1.1,46,0.45,18,25,4239,31-Oct-19,57.7294686,ADULT
Wellness Complete Health Grain Free Adult Chicken & Chicken Meal,1.1,47.12,0.29,19.67,21.83,3907,01-Feb-20,54.48937606,ADULT
Wellness Complete Health Grain Free Kitten Chicken & Chicken Meal,1.1,47.12,0.29,19.67,21.83,3907,01-Feb-20,54.48937606,ADULT
Catered Bowl Salmon & Sweet Potato*,1.11,28.33,na,11.67,na,4700,11-Nov-19,91.25222958,ADULT
Tender & True Salmon & Sweet Potato*,1.11,28.33,na,11.67,na,4700,11-Nov-19,91.25222958,ADULT
Nature's Harvest Senior/Weight Management*,1.11,32.22,na,13.33,40,3870,02-Dec-19,80.0560941,ADULT
Nature's Harvest Adult/Kitten Grain Free*,1.11,35.56,na,21.11,28.89,3690,02-Dec-19,61.20585886,ADULT
Nature's Harvest Grain-Free Cod*,1.11,40,0.44,22.22,na,na,03-Feb-20,56.00247525,ADULT
"Wellness Complete Health Healthy Weight Chicken,
Chicken Meal & Turkey Meal",1.12,33.97,0.24,13.48,43.58,3520,01-Feb-20,77.59836092,ADULT
Fromm Gold Mature,1.13,33.28,0.4,13.77,43.79,4017,31-Jan-20,77.50199884,ADULT
Fromm Salmon À La Veg,1.13,35.18,0.47,17.2,39.2,3679,31-Jan-20,67.5082962,ADULT
DAD'S Special Mix*,1.13,37.17,0.74,10.75,49.34,3350,25-Nov-19,84.79206162,ADULT
Performatrin Kitten Formula,1.13,38.6,0.57,23.3,25.8,4230,28-Nov-19,55.9885699,ADULT
Performatrin Ultra Lamb & Brown Rice Adult Recipe,1.14,35.9,0.49,21.1,29,3865,28-Nov-19,60.88529222,ADULT
Organix Grain Free Organic Healthy Kitten,1.14,37.5,0.31,16.3,37.57,3590,17-Nov-16,67.07566462,ADULT
Wellness Complete Health Senior Chicken & Chicken Meal,1.14,43.1,0.32,16.14,29.4,3738,01-Feb-20,63.07914794,ADULT
Fromm Game Bird Recipe,1.16,38.6,0.44,20.09,30.81,3654,31-Jan-20,59.76022407,ADULT
Nulo Freestyle Grain Free Indoor Adult Duck & Lentils,1.16,43.78,0.45,19.73,23.21,3724,26-Nov-19,56.42818062,ADULT
Farmina Natural and Delicious Low Ancestral Grain Chicken & Pomegranate,1.17,38.3,0.53,21.28,29.79,4383,11-Dec-16,58.48294038,ADULT
Stella and Chewy's Raw-Coated Cage-Free Salmon*,1.17,39.8,0.25,15.9,36.4,3687,21-Jan-20,65.99823014,ADULT
Lovibles Chicken,1.18,35,0.5,14.5,34.7,4021,22-Jan-20,73.6453202,ADULT
Hill's Science Diet Kitten Indoor,1.18,38.4,0.54,20.7,31.5,3997,01-Feb-20,59.12213164,ADULT
Fromm Salmon Tunachovy,1.18,38.7,0.45,17.18,33.57,3621,31-Jan-20,64.31371133,ADULT
Fromm Gold Adult,1.19,34.96,0.44,19.68,36.93,4318,31-Jan-20,63.70230321,ADULT
Nulo MedalSeries Grain Free Adult Salmon & Lentils,1.19,43.51,0.36,21.89,22.65,3881,26-Nov-19,53.85465595,ADULT
Nulo MedalSeries Grain Free Indoor Adult Duck & Cod,1.19,43.78,0.39,16.49,26.34,3493,26-Nov-19,61.90539776,ADULT
"Canidae All Life Stages Indoor Adult with Chicken, Turkey, Lamb & Fish Meals",1.2,33.15,0.33,15.76,39,4198,23-Jul-19,72.60586781,ADULT
AvoDerm Adult Grain Free Turkey Meal,1.2,33.7,0.43,18.48,30,3685,24-Jul-19,66.85389289,ADULT
AvoDerm Adult Grain Free Ocean Fish & Chicken Meal Formula,1.2,33.7,0.54,17.39,31,3635,24-Jul-19,68.71936018,ADULT
Evanger's Grain Free Meat Lover's Medley with Rabbit,1.2,35.6,0.2,15.1,31,na,16-Sep-16,71.53620061,ADULT
Taste of the Wild Canyon River with Trout & Smoked Salmon,1.2,36,0.38,17.5,36.4,3741,23-Sep-19,66.15079365,ADULT
FirstMate Cat/Kitten,1.2,36,0.8,21,29,3660,25-Nov-19,60.91269841,ADULT
Earthborn Holistic Feline Vantage,1.2,39.1,0.3,15.2,39.1,3770,15-Jan-20,68.15351999,ADULT
GO! Solutions Carnivore 70% Grain Free Lamb & Wild Boar,1.2,47,0.47,16,26,4147,31-Oct-19,60.97074468,ADULT
Dr Elsey's Clean Protein with Salmon,1.2,58.35,0.65,19.02,9.06,3976,22-Sep-19,50.33938028,ADULT
AvoDerm Grain Free Duck with Turkey Meal,1.21,35.8,0.39,17.7,39,3563,24-Jul-19,65.98964745,ADULT
Chicken Soup for the Soul Classic Adult Chicken & Brown Rice,1.21,37.76,0.5,20.28,30.15,3732,28-Oct-19,60.22412914,ADULT
Nulo MedalSeries Grain Free Cat & Kitten Turkey & Cod,1.21,44.86,0.37,21.89,21.54,3953,26-Nov-19,52.99009537,ADULT
Catered Bowl Ocean Whitefish & Potato*,1.22,33.33,0.38,17.06,35,3750,11-Nov-19,69.7429063,ADULT
Tender & True Ocean Whitefish & Potato*,1.22,33.33,0.38,17.06,35,3750,11-Nov-19,69.7429063,ADULT
Chicken Soup for the Soul Classic Indoor Chicken & Brown Rice,1.22,36.05,0.49,14.89,35.33,3425,28-Oct-19,71.61160577,ADULT
Farmina Natural and Delicious Low Ancestral Grain Codfish & Orange,1.22,38.3,0.85,21.28,29.89,4476,11-Dec-16,58.48294038,ADULT
Lotus Oven-Baked Chicken Recipe Adult,1.22,39.17,0.41,21.39,26.27,3697,28-Jan-20,57.62512766,ADULT
Nulo MedalSeries Grain Free Indoor Adult Turkey & Chicken,1.22,41.71,0.35,18.41,27.13,3632,26-Nov-19,59.84390031,ADULT
Nulo MedalSeries Grain Free Indoor Adult Trout & Duck,1.22,41.89,0.35,15.75,28.5,3428,26-Nov-19,64.76069221,ADULT
"Nulo MedalSeries Grain FreeSenior Cat Turkey, Alaska Pollock & Red Lentils",1.22,42.31,0.35,15.66,28.61,3454,26-Nov-19,64.66517129,ADULT
Nulo MedalSeries Grain Free Cat & Kitten Cod & Duck,1.22,43.1,0.36,17.84,27.22,3685,26-Nov-19,59.8319166,ADULT
Open Farm Homestead Turkey & Chicken,1.22,44.57,0.37,21.74,21.74,3840,17-Jan-20,53.34475874,ADULT
Country Vet Choice 30/11 Kitten & Adult,1.23,33.34,0.27,12.23,37.03,3280,17-Jan-20,82.46388335,ADULT
Nulo MedalSeries Grain Free Adult Chicken & Peas,1.23,43.51,0.37,21.89,22.71,3868,26-Nov-19,53.85465595,ADULT
Horizon Complete All Life Stages,1.24,33.52,0.46,18.05,31.36,3680,25-Nov-19,67.76208358,ADULT
Health Extension Chicken & Brown Rice,1.24,38,0.26,20,31,3719,07-Dec-16,60.39473684,ADULT
Dr Tim's Chase,1.24,38,0.74,22,20,4140,29-Oct-19,57.89473684,ADULT
Health Extension Grain Free Turkey & Salmon Recipe,1.24,39,0.23,20,33,3744,07-Dec-16,59.55128205,ADULT
Merrick Limited Ingredient Grain Free Turkey,1.24,39.2,0.78,15.6,34.62,3588,18-Nov-16,67.14416536,ADULT
Fromm Surf & Turf,1.24,41.99,0.48,21.79,23.8,3696,31-Jan-20,55.00992883,ADULT
DAD'S Original*,1.25,36.24,0.41,11.51,47.76,3370,25-Nov-19,82.27680892,ADULT
Dave’s Naturally Healthy Adult*,1.25,41.81,0.32,20.8,na,3777,30-Dec-19,56.33946148,ADULT
Nulo Freestyle Grain Free Cat and Kitten Chicken & Cod,1.25,44.23,0.33,22.25,21.44,3868,26-Nov-19,52.98046219,ADULT
Nulo Freestyle Grain Free Adult Trim Salmon & Lentils,1.25,45.86,0.37,13.76,23.89,3538,26-Nov-19,67.22779896,ADULT
Chicken Soup for the Soul Classic Weight & Mature Care Chicken & Brown Rice,1.26,37.81,0.49,9.38,37.15,3113,28-Oct-19,91.69543148,ADULT
Fromm Chicken au Frommage,1.27,38.1,0.52,21.02,na,3752,31-Jan-20,58.97395556,ADULT
Wellness Natural Hairball Control Chicken Meal & Rice,1.27,41.63,0.28,18.29,27.72,3614,01-Feb-20,60.09750034,ADULT
Wellness Complete Health Grain Free Indoor Chicken & Chicken Meal,1.27,41.91,0.3,13.91,29.91,3451,01-Feb-20,69.36571658,ADULT
Wellness Complete Health Grain Free Indoor Healthy Weight Chicken & Turkey,1.27,41.91,0.3,13.91,29.91,3451,01-Feb-20,69.36571658,ADULT
Farmina Natural and Delicious Low Ancestral Grain Lamb & Blueberry,1.28,38.3,0.64,21.28,29.79,4240,11-Dec-16,58.48294038,ADULT
Open Farm Catch-of-the-Season Whitefish,1.28,44.57,0.37,21.74,21.74,3840,17-Jan-20,53.34475874,ADULT
Nulo MedalSeries Grain Free Adult Weight Management Salmon & Sweet Potato,1.29,43.51,0.41,14.05,28.79,3446,26-Nov-19,67.87493528,ADULT
Wysong Anergen,1.3,30.3,0.2,13.5,37.2,3301,16-Oct-19,81.99486615,ADULT
Canidae Grain Free PURE Stream With Real Trout,1.3,34.78,0.33,17.39,35,3670,07-Dec-16,67.56756757,ADULT
Canidae Grain Free PURE Sea With Real Salmon,1.3,34.78,0.33,18.48,34,3750,07-Dec-16,65.70210028,ADULT
PureVita Grain Free Duck & Red Lentils Entrée,1.3,35,0.4,14.5,na,3880,28-Jan-20,73.6453202,ADULT
Evanger's Grain Free Catch of the Day,1.3,35.6,0.2,18.6,29.5,3758,16-Sep-16,64.68225202,ADULT
Wysong Geriatrx,1.3,36.9,0.4,16.3,27.3,3528,16-Oct-19,67.61767004,ADULT
Canidae Grain Free PURE Elements With Real Chicken,1.3,38.04,0.33,19.57,29,3750,07-Dec-16,60.9643884,ADULT
FirstMate indoor Formula,1.3,39,0.8,13,33,3295,25-Nov-19,74.35897436,ADULT
Canidae Grain Free PURE Ocean Indoor Cat Formula With Fresh Tuna,1.3,39.13,0.33,13.04,33,3400,07-Dec-16,74.1227135,ADULT
Nulo MedalSeries Grain Free Limited Ingredient Diet Cat & Kitten Cod,1.3,39.19,0.37,17.57,31.1,3657,26-Nov-19,63.19924981,ADULT
Instinct Limited Ingredient Diet Salmon,1.3,41,0.88,18.7,28.57,4400,08-Nov-19,59.89956958,ADULT
Open Farm Wild Caught Salmon,1.3,44.57,0.37,21.74,21.74,3840,17-Jan-20,53.34475874,ADULT
FirstMate Grain Free Pacific Ocean Fish Meal With Blueberries,1.3,47,1.7,20,22,3700,25-Nov-19,54.09574468,ADULT
GO! Sensitivity + Shine Grain Free Freshwater Trout & Salmon,1.3,50,0.65,21,20,4444,31-Oct-19,51.19047619,ADULT
Country Vet Premium 30/15 Kitten & Adult,1.31,33.34,0.26,16.67,33.52,3570,17-Jan-20,70.48590282,ADULT
Rancher's Choice 31.5/11 Cat & Kitten,1.31,35,0.29,12.23,36.93,3325,17-Jan-20,80.68566756,ADULT
Taste of the Wild Rocky Mountain with Roasted Venison & Smoked Salmon,1.31,47,0.44,19.7,21.5,3745,23-Sep-19,54.51452641,ADULT
Nulo Freestyle Freeze-Dried Raw Cat & Kitten Chicken & Salmon,1.31,60.62,0.45,30.1,0.78,4437,26-Nov-19,38.89268259,ADULT
Azmira Classic Cat Formula*,1.32,33.08,0.33,11.38,na,3425,16-Jan-20,86.11758681,ADULT
Lotus Grain Free Oven-Baked Duck Recipe Adult,1.32,38.6,0.59,17.22,31.69,3531,28-Jan-20,64.3230248,ADULT
Catered Bowl Organic Chicken & Liver*,1.33,33.33,0.23,18.89,30,3500,11-Nov-19,66.61968473,ADULT
Tender & True Organic Chicken & Liver*,1.33,33.33,0.23,18.89,30,3500,11-Nov-19,66.61968473,ADULT
Catered Bowl Organic Turkey & Liver*,1.33,33.33,0.29,18,30,3650,11-Nov-19,68.05930593,ADULT
Tender & True Organic Turkey & Liver*,1.33,33.33,0.29,18,30,3650,11-Nov-19,68.05930593,ADULT
Country Vet Naturals 34/15 Grain Free,1.33,37.78,0.29,16.67,30.47,3588,17-Jan-20,66.07969036,ADULT
Nature's Logic Turkey,1.33,41.5,0.32,15.6,27.5,3957,15-Nov-20,65.37689218,ADULT
Open Farm Pasture Raised Lamb,1.33,44.57,0.37,21.74,21.74,3840,17-Jan-20,53.34475874,ADULT
Nulo Freestyle Adult Hairball Management Turkey & Cod,1.33,44.98,0.4,17.57,21.75,3534,26-Nov-19,59.09348694,ADULT
"RAWZ Meal Free Dehydrated Chicken, Turkey & Chicken",1.33,48.12,0.36,14.48,25.69,3710,03-Dec-19,63.96015027,ADULT
AvoDerm Grain Free Salmon with Tuna Meal,1.34,37.8,0.53,19.6,35,3595,24-Jul-19,61.13000756,ADULT
DAD'S Gourmet Blend Natural*,1.35,37.33,0.74,11.49,47.93,3380,25-Nov-19,81.35284365,ADULT
Canidae All Life Stages With Chicken Meal & Rice,1.36,34.78,0.33,21.74,34,4400,23-Jul-19,61.23918356,ADULT
"Canidae All Life Stages With Chicken, Turkey, Lamb & Fish Meals",1.36,34.78,0.33,21.74,34,4585,23-Jul-19,61.23918356,ADULT
"Holistic Select Grain Free Indoor Health/Weight Control (Turkey, Chicken & Herring Meal)",1.37,36.8,0.33,14.84,35.03,3547,01-Feb-20,71.02938591,ADULT
Holistic Select Grain Free Adult & Kitten Health Chicken Meal,1.37,38.8,0.41,20.98,28.63,3851,01-Feb-20,58.43193812,ADULT
Petkind Green Tripe & High Seas*,1.38,37.78,1.01,17.78,25.5,3705,17-Jan-20,64.01992234,ADULT
Nature's Logic Rabbit,1.38,41.6,0.36,16,23.9,4041,15-Nov-20,64.42307692,ADULT
Farmina Natural and Delicious Grain Free Lamb & Blueberry,1.38,44.68,0.64,21.28,22.66,4417,11-Dec-16,53.82258803,ADULT
Farmina Natural and Delicious Grain Free Boar & Apple,1.38,46.81,0.64,21.28,20.74,4396,11-Dec-16,52.54956045,ADULT
Farmina Natural and Delicious Grain Free Kitten Chicken & Pomegranate,1.38,46.81,0.64,21.28,20.96,4344,11-Dec-16,52.54956045,ADULT
Farmina Natural and Delicious Grain Free Adult Chicken & Pomegranate,1.38,46.81,0.64,21.28,20.96,4448,11-Dec-16,52.54956045,ADULT
Farmina Natural and Delicious Grain Free Fish & Orange,1.38,46.81,0.85,21.28,20.96,4456,11-Dec-16,52.54956045,ADULT
